Police Region,,Murder,Rape,Child Desertion,Unnatural Offence,Child Stealing,Defilement,Human Trafficking,Total,,
Arusha,,64,147,25,37,6,1,0,280,,
Ilala,,77,278,3,87,0,0,5,450,,
Temeke,,72,395,4,157,5,0,9,642,,
Kinondoni,,159,467,16,176,14,0,4,836,,
Dodoma,,176,279,2,80,3,1,0,541,,
Geita,,185,132,1,5,8,0,0,331,,
Iringa,,97,191,6,32,1,0,0,327,,
Kagera,,228,269,14,5,5,0,0,521,,
Katavi,,68,123,3,9,5,0,0,208,,
Kigoma,,140,226,7,21,5,4,12,415,,
Kilimanjaro,,78,315,16,82,9,5,0,505,,
Lindi,,51,209,0,17,1,1,0,279,,
Mara,,98,227,3,24,14,1,0,367,,
Manyara,,95,206,2,34,1,1,1,340,,
Mbeya,,173,484,5,41,10,0,2,715,,
Morogoro,,152,425,2,43,11,0,3,636,,
Mtwara,,51,153,2,8,12,0,1,227,,
Mwanza,,173,245,7,30,7,0,0,462,,
Njombe,,86,166,4,22,1,0,1,280,,
Pwani,,129,408,3,56,7,0,4,607,,
Rukwa,,90,218,4,10,4,0,2,328,,
Ruvuma,,58,209,11,9,3,0,2,292,,
Shinyanga,,102,252,3,30,19,0,0,406,,
Simiyu,,66,99,1,6,3,0,0,175,,
Singida,,109,173,2,22,3,0,0,309,,
Songwe,,94,123,1,5,3,1,1,228,,
Tabora,,233,206,2,20,6,0,0,467,,
Tanga,,99,418,7,52,2,0,0,578,,
Tarime ï¿½ Rorya,,80,135,1,14,2,0,0,232,,
Marine,,0,2,0,0,0,0,0,2,,
Railways,,0,0,0,0,0,0,6,6,,
TAZARA,,0,0,0,0,0,0,0,0,,
Airports,,0,0,0,0,0,0,2,2,,
Tanzania Mainland,,"3,283","7,180",157,"1,134",170,15,55,"11,994",,
Kaskazini Pemba,,1,36,0,2,0,1,0,40,,
Kaskazini Unguja,,3,44,0,12,0,0,0,59,,
Kusini Pemba,,5,18,0,3,0,0,0,26,,
Kusini Unguja,,5,43,1,6,0,0,0,55,,
Mjini Magharibi,,21,324,1,45,0,2,0,393,,
Tanzania Zanzibar,,35,465,2,68,0,3,0,573,,
Tanzania,,"3,318","7,645",159,"1,202",170,18,55,"12,567",,
Source: TPF,,,,,,,,,,,
