Link,ubakaji,wizi,ujambazi,ujangili,utekaji,mauaji
https://www.jamhurimedia.co.tz/ujazaji-maji-bwawa-la-umeme-jnhpp-mbiyoni-kutegua-kitendawili-cha-mda-mrefu/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/serikali-yachukua-tahadhari-kujikinga-na-ebola/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/harufu-ya-rushwa-ccm-yaamua-kufuta-chaguzi-baadhi-ya-mikoa/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/category/s2-nyundo-ya-wiki/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/category/s8-makala/c21-uchumi/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/mwonekano-gazeti-la-jamhuri-desemba-20-26-2022/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/muhimbili-kuanzisha-sober-house-kliniki-ya-magonjwa-ya-akili/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/rais-samia-ashuhudia-utiaji-saini-mkataba-ujenzi-sgr-tabora-kigoma/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/ccm-washauriwa-kutopoteza-muda-kwa-malumbano/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/tanzania-yangara-mkutano-wa-cites-nchini-panama/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/bado-mnawataka-takukuru-kwa-makipa/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/balozi-sirro-awasilisha-hati-za-utambulisho/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/tuna-matumaini-chanya-ya-mabadiliko-ya-sheria-ya-habari/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/rais/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/tuheshimu-sekta-binafsi-fedha-zao/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/fcc-yawaomba-wafanyabiashara-kuzingatia-ubora-kwenye-bidhaa-zao/,0,0,0,0,0,0
https://www.facebook.com/profile.php?id=100071443196633,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/tfs-yawataka-wananchi-kutunza-mazingira/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/category/s1-habari/c2-biashara/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/serikali-kuwajengea-uwezo-wataalamu-wa-nusu-kaputi/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/category/page-za-ndani/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/mwenyekiti-ccm-rais-samia-aongoza-kikao-cha-halmashauri-kuu-taifa-dodoma/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/about-us/,0,0,0,0,0,0
https://jamhurimedia.co.tz,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/category/kazi-ajira/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/mzimu-wa-luis-miquissone-ulivyomnasa-percy-tau/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/mwonekano-gazeti-la-jamhuri-desemba-13-192022/,0,0,0,0,0,0
https://twitter.com/Jamhurmedia,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/prof-kabudi-sh-trilioni360-haikuwa-kodi-halali/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/serikali-yatakiwa-kufanya-maamuzi-magumu-kuliokoa-bonde-la-ihefu/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/category/s1-habari/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/rais-samia-awaapisha-mmuya-na-dkt-abdallah/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/hiki-ndicho-kinacholitesa-taifa-letu/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/serikali-yatoa-maagizo-mazito-ya-kuokoa-bonde-la-ihefu/,0,0,0,0,0,0
https://www.jamhurimedia.co.tz/category/gazeti-letu/,0,0,0,0,0,1
https://www.jamhurimedia.co.tz/author/gazeti/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/simba-wanapomuuza-mbaniani-mbaya-wakati-hawana-malaika/,1,0,1,0,0,1
https://www.instagram.com/jamhuridigital,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/mto-ruaha-haujatiririsha-maji-kwa-zaidi-ya-siku-130/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/category/s8-makala/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/category/s8-makala/c20-siasa/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/category/s1-habari/c3-uchumi/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/veta-karagwe-inavyowakomboa-vijana-kupitia-elimu-ya-ufundi/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/gazeti-la-jamhuri-desemba-13-192022/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/page/1159/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/rais-samia-azungumza-na-viongozi-katika-mkutano-wa-agra-marekani/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/balile-sheria-ikirekebishwa-huru-wa-habari-utapatikana/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz#,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/category/s1-habari/c1-siasa/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/category/habari-mpya/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/kukwepa-kutumia-maabara-kumechangia-ongezeko-la-magonjwa/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/category/s8-makala/c16-siasa/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/category/habari-za-kimataifa/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/coastal-union-kwafutukawamtimua-kocha-wao-alfajiri/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/page/3/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/category/c-6-balile/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/tulinde-rasilimali-za-nchi-yetu-kwa-wivu-mkubwa/,1,0,1,0,0,1
https://www.jamhurimedia.co.tz/rais-samia-angara-kwa-kupata-kura-1914/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/nape-mabadiliko-sheria-ya-habari-kufanyika-2023/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/masanjatuwaunge-mkono-wanaoshiriki-kutokomeza-ukatiri/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/gazeti-la-jamhuri-laibuka-kinara-tena-ubora-wa-maudhui-2022/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/ccm-si-shwari/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/gazeti-la-jamuhuri/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/halotel-kuwapatia-wanafunzi-wa-vyuo-salio-la-bure/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/tanzania-ni-miongoni-mwa-nchi-30-zenye-kiwango-kikubwa-cha-tb/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/category/burudani/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/page/2/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/miaka-30-rais-samia-amefungua-milango/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/rushwa-ya-ngono-bado-tatizo-vyumba-vya-habari/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/tanzania-oman-zainisha-maeneo-ya-kushirikiana/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/nmb-yaanzisha-ufunguaji-akaunti-ndani-ya-dakika-mbili/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/category/matangazo/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/category/s5-habari-za-michezo/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/majaliwa-ashiriki-mkutano-mkuu-wa-uchaguzi-lindi/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/makamu-mwenyekiti-ccm-zbar-audhuria-mkutano-wa-10-dodoma/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/ni-argentina-bingwa-kombe-la-dunia-2022/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/waziri-dk-mwigulu-epuka-kodi-za-kero/,1,1,1,0,0,1
https://www.jamhurimedia.co.tz/category/mchanganyiko/,1,1,1,0,0,1
